iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
170000,  7.730663E+03,  2.217070E+03,  1.051308E+02,  3.191348E+02,  2.427843E+01,  1.203186E+00,  1.476531E-02,  3.779920E+00,  3.779920E+00,  3.126053E+02,  7.369952E+01,  5.091951E-09,  1.363286E-04,  9.533403E-03,  3.250290E-01,  3.330738E-01,  3.418971E-01
171000,  7.704543E+03,  2.224492E+03,  1.054697E+02,  3.201896E+02,  2.427542E+01,  1.201102E+00,  1.473975E-02,  3.773375E+00,  3.773375E+00,  3.135739E+02,  7.369640E+01,  5.127374E-09,  1.372429E-04,  9.565317E-03,  3.223006E-01,  3.369336E-01,  3.407657E-01
172000,  7.668827E+03,  2.231924E+03,  1.058556E+02,  3.208383E+02,  2.428313E+01,  1.199292E+00,  1.471752E-02,  3.767686E+00,  3.767686E+00,  3.148215E+02,  7.359982E+01,  5.158413E-09,  1.381615E-04,  9.597273E-03,  3.208946E-01,  3.396653E-01,  3.394401E-01
173000,  7.624005E+03,  2.239304E+03,  1.061956E+02,  3.210760E+02,  2.428082E+01,  1.197257E+00,  1.469255E-02,  3.761293E+00,  3.761293E+00,  3.158023E+02,  7.341161E+01,  5.193570E-09,  1.390767E-04,  9.629007E-03,  3.204210E-01,  3.412414E-01,  3.383377E-01
174000,  7.573721E+03,  2.246687E+03,  1.067803E+02,  3.210648E+02,  2.433429E+01,  1.196603E+00,  1.468453E-02,  3.759241E+00,  3.759241E+00,  3.182406E+02,  7.316784E+01,  5.204922E-09,  1.399952E-04,  9.660752E-03,  3.202078E-01,  3.418460E-01,  3.379462E-01
175000,  7.522260E+03,  2.254216E+03,  1.073881E+02,  3.210243E+02,  2.439107E+01,  1.195996E+00,  1.467708E-02,  3.757333E+00,  3.757333E+00,  3.207988E+02,  7.291424E+01,  5.215501E-09,  1.409351E-04,  9.693129E-03,  3.203192E-01,  3.408478E-01,  3.388330E-01
176000,  7.472417E+03,  2.261804E+03,  1.078223E+02,  3.210477E+02,  2.440752E+01,  1.194391E+00,  1.465738E-02,  3.752290E+00,  3.752290E+00,  3.223131E+02,  7.267491E+01,  5.243598E-09,  1.418856E-04,  9.725758E-03,  3.208885E-01,  3.388411E-01,  3.402703E-01
177000,  7.421453E+03,  2.269324E+03,  1.081175E+02,  3.209817E+02,  2.439323E+01,  1.192061E+00,  1.462879E-02,  3.744972E+00,  3.744972E+00,  3.230062E+02,  7.241922E+01,  5.284705E-09,  1.428305E-04,  9.758092E-03,  3.220423E-01,  3.371569E-01,  3.408009E-01
178000,  7.366752E+03,  2.276685E+03,  1.083721E+02,  3.206864E+02,  2.437162E+01,  1.189605E+00,  1.459865E-02,  3.737256E+00,  3.737256E+00,  3.234801E+02,  7.211864E+01,  5.328483E-09,  1.437587E-04,  9.789746E-03,  3.239996E-01,  3.356676E-01,  3.403329E-01
179000,  7.310185E+03,  2.283834E+03,  1.085505E+02,  3.202256E+02,  2.433533E+01,  1.186857E+00,  1.456493E-02,  3.728622E+00,  3.728622E+00,  3.235301E+02,  7.178958E+01,  5.378006E-09,  1.446629E-04,  9.820487E-03,  3.267496E-01,  3.338089E-01,  3.394415E-01
